Gene,IR_039,IR_046,PD_016,IR_031,PD_021,IR_047,IR_002,PD_028,IR_050,IR_016,IR_019,PD_025,IR_027,PD_029,IR_020,HR_056,HR_063,PD_001,HR_048,PD_006,HR_064,HR_019,PD_013,HR_067,HR_033,HR_036,PD_010,HR_044,PD_014,HR_037
SEC24B-AS1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
A1BG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,1120,1173,211,789,8278,851,749,398,129,893,330,3699,524,7451,725,820,0,806,568,3692,272,620,387,0,831,185,2505,763,0,1288
A2ML1,476,309,484,97,126,250,56,148,222,481,64,42,41,6,110,0,899,0,85,0,882,102,0,0,171,57,0,237,0,646
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,35,0,0,0,0,0,0,104,0,24,0,32,509,0,0,0,0,22,0,0,96,0,0,0,0,0,0,0,323
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,43,25,153,0,135,0,0,36,13,0,4,93,3,0,8,24,0,81,12,0,0,96,0,0,1,0,0,0,0,62
AACS,77,936,1319,5,965,2199,432,332,112,1244,78,339,121,2231,418,73,0,1727,224,0,0,934,0,0,159,416,0,0,0,427
AADAC,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,1,0,27,0,17,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
AADACL3,426,4303,368,153,0,7797,972,1069,390,3988,175,6152,1248,418,3858,216,346,1094,104,1508,509,1544,1252,163,2687,1833,0,1628,886,399
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
AAGAB,114,329,101,102,218,490,572,371,123,393,69,1020,57,0,323,29,0,376,74,0,138,384,0,43,236,31,0,221,0,0
AAK1,74,1,0,0,0,171,0,131,12,0,4,0,16,0,19,21,0,0,9,0,0,0,0,0,28,0,0,82,0,0
AAMP,368,1149,309,261,455,746,373,95,162,803,182,0,272,0,315,300,381,294,482,585,0,455,178,311,342,164,0,970,0,0
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS,544,550,692,222,0,0,311,310,118,176,79,0,295,0,272,147,0,3,475,0,244,104,1314,0,199,614,0,423,0,313
AARS2,142,45,0,236,654,0,216,0,70,266,11,145,77,0,21,149,0,0,0,0,0,0,0,0,57,12,0,8,0,136
PTGES3L-AARSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDHPPT,23,80,0,16,158,86,27,322,6,51,21,445,5,0,32,19,0,141,13,0,0,46,268,0,31,76,0,0,1,31
AASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATF,314,453,1330,359,385,491,116,443,265,407,532,506,233,0,317,183,260,395,410,0,98,72,323,35,419,395,422,368,0,354
AATK,946,282,544,1364,704,921,0,1621,532,612,530,0,344,166,1044,296,216,61,149,0,61,82,87,0,121,127,0,502,0,67
ABAT,156,125,1,363,0,939,105,0,58,255,267,0,138,0,44,45,0,2,17,0,120,70,459,0,340,21,0,275,0,0
ABCA1,1276,355,155,810,423,1085,556,916,619,479,983,242,492,392,642,922,552,691,186,6,130,468,1659,101,576,626,0,643,0,655
ABCA10,8,0,0,0,0,0,0,0,16,0,6,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ABCA12,3060,1252,1940,409,7570,816,1528,568,193,4147,16,1862,131,3058,265,68,678,1639,210,0,5845,846,0,1479,600,103,0,0,0,2466
ABCA13,91,275,0,100,854,105,0,0,9,102,16,0,26,0,0,34,0,0,120,0,0,142,0,0,56,125,0,0,0,229
ABCA17P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA2,201,141,189,88,106,0,0,472,89,90,43,0,67,0,31,70,0,0,63,0,147,130,0,0,31,0,0,0,0,278
ABCA3,44,161,0,0,0,356,0,0,0,68,0,0,18,0,0,34,0,3,0,0,0,0,0,0,73,0,0,0,0,0
ABCA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,11,21,38,19,53,0,24,0,7,70,53,0,19,0,8,18,0,8,32,0,8,40,1,0,17,3,0,0,0,17
ABCA6,44,23,0,0,171,0,0,117,31,17,50,0,27,0,0,83,0,394,16,0,504,61,0,0,0,32,0,0,0,0
ABCA7,94,39,43,172,0,40,39,18,183,128,127,0,117,0,226,59,99,112,95,0,0,216,80,0,30,0,524,106,0,72
ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,0,49,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10,283,0,264,5,0,51,0,0,72,0,60,0,60,0,138,138,0,0,106,0,0,15,0,0,60,88,0,0,0,0
ABCB11,0,0,0,0,0,92,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,71,0,0,0,0,0,0,17,0,0,22,0,69,0,0,27,0,0,9,0,0,0,1320,0,22,0,0,0,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,16,0,0,146,0,0,0,0,51,11,0,0,6,0,0,0,0,0,0,0,11,0,0,0,23,0,0,0,0,0
ABCB7,81,59,313,0,223,0,118,0,52,28,4,0,17,180,20,32,0,0,33,0,98,111,0,52,27,87,0,0,0,136
ABCB8,5,7,0,0,0,4,0,0,0,0,0,19,2,0,4,2,0,2,1,0,4,6,0,0,2,0,0,0,0,0
ABCB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC1,709,193,0,61,2220,595,188,217,459,835,161,0,447,1580,433,545,696,263,585,0,258,353,1712,853,263,184,0,95,0,865
ABCC10,30,0,0,44,0,0,0,0,0,0,5,0,32,0,15,17,0,0,48,0,0,0,0,0,0,0,0,0,0,0
ABCC11,10,16,0,0,0,55,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCC2,3,0,0,0,0,16,0,0,16,0,7,0,14,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC3,132,163,441,20,0,136,93,0,67,70,33,479,86,0,92,120,154,68,165,0,0,6,0,0,78,2,0,0,0,6870
ABCC4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC5,9,19,0,0,0,0,0,0,37,0,11,0,10,0,21,2,0,0,10,0,0,0,0,0,3,0,0,0,0,0
ABCC6,0,0,0,0,0,0,0,0,0,17,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
ABCC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,175,192,670,0,0,140,0,81,9,139,76,1230,174,0,20,268,0,0,19,0,0,1,524,805,86,45,0,0,0,302
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD3,290,76,0,34,808,312,0,1,85,152,125,855,81,0,94,89,0,197,196,0,105,85,0,0,94,16,0,0,0,0
ABCD4,129,74,19,442,0,0,0,0,24,141,39,0,100,92,105,51,0,56,259,0,0,181,0,61,161,129,0,0,0,30
ABCE1,128,91,0,151,64,263,94,119,1,65,93,0,89,1367,79,117,139,9,235,0,168,78,632,108,87,195,0,0,0,55
ABCF1,360,368,435,523,317,962,378,225,251,1085,435,568,630,0,453,338,293,215,226,645,244,318,0,458,373,182,160,254,0,454
ABCF2,60,178,179,42,0,124,32,185,33,138,59,0,24,0,67,43,119,1,79,3201,0,24,0,0,76,90,4,0,0,0
ABCF3,175,27,0,49,346,173,158,0,100,144,87,282,172,166,109,90,0,53,87,0,0,43,107,189,71,47,0,33,0,126
ABCG1,5,11,5,8,3,5,0,5,6,17,11,7,5,0,4,7,0,0,4,0,10,8,0,10,10,0,0,11,0,1
ABCG2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,387,0,0,0,0,0,96,0,0,0,0,0,647,0
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ABHD10,45,23,0,13,0,151,28,0,8,110,61,0,43,0,44,28,1,25,19,0,0,18,1,79,36,36,0,43,14,0
ABHD11,9,6,0,0,0,99,0,54,3,94,12,0,7,0,0,14,0,0,30,0,0,10,0,0,12,0,0,0,0,0
ABHD12,288,678,657,297,1702,281,570,890,226,312,131,1745,183,756,122,186,115,329,166,946,45,186,0,197,137,232,613,195,0,18
ABHD12B,5,30,33,5,16,28,48,3,0,26,0,46,3,0,10,1,1,2,2,0,1,30,0,0,38,1,0,7,0,0
ABHD13,83,101,25,29,35,91,72,38,35,153,104,137,37,0,70,57,0,0,4,0,28,26,42,0,61,83,0,0,0,30
ABHD14A,1,3,0,0,2,8,0,4,0,0,0,45,0,0,13,0,0,0,4,0,0,3,0,0,8,0,0,0,0,0
ABHD14B,306,1443,364,208,299,4424,390,782,255,2104,211,485,567,0,922,213,235,319,390,705,400,1301,2,465,469,41,2998,381,689,1207
ABHD15,17,25,0,25,0,150,0,0,0,0,9,0,0,0,0,16,0,0,36,0,22,0,0,0,0,0,0,96,0,0
ABHD16A,638,233,362,481,505,222,626,678,647,601,570,0,651,2350,708,490,33,906,551,0,255,152,830,0,214,58,0,202,0,937
ABHD16B,191,88,97,227,64,126,99,241,180,85,91,0,122,0,45,82,0,794,102,493,251,106,89,0,9,7,0,0,0,108
ABHD2,1449,1712,2194,1915,973,2662,1974,3214,1806,942,4614,1439,1130,0,2141,939,1603,127,702,0,531,388,793,0,1589,1008,0,652,0,1480
ABHD3,332,1013,1289,844,0,558,207,1821,770,476,711,0,347,0,718,363,2158,4,211,0,205,51,1801,0,471,170,0,106,0,674
ABHD4,223,159,66,86,185,334,281,492,70,163,223,436,142,323,259,120,72,223,74,0,166,37,0,0,110,46,0,0,0,0
ABHD5,9042,77499,8257,8665,4767,111244,29605,7386,8003,50921,4751,10353,10937,2419,36601,3983,14746,5749,10303,6104,10359,29632,1994,13526,25739,9515,2093,10401,2489,15808
ABHD6,110,44,116,121,230,244,65,0,67,0,204,0,37,0,48,32,164,0,51,0,0,219,0,0,87,0,2295,0,0,0
ABHD8,258,2745,2862,414,463,3979,1234,951,298,2336,111,1526,333,307,1067,122,1055,0,419,1891,202,2384,2,212,417,186,0,645,582,1035
ABI1,1600,1016,2152,1622,1242,2689,1875,775,791,1109,1779,3,848,1053,1168,1553,1460,1,798,2285,865,787,0,1247,1116,2162,3498,136,539,878
ABI2,0,6,0,5,0,4,0,0,0,12,2,0,1,0,1,0,0,43,18,42,5,3,0,48,13,25,0,0,0,0
ABI3,244,0,0,67,0,0,0,168,40,69,73,0,131,0,20,350,0,199,730,0,0,113,0,0,0,0,0,0,0,0
ABI3BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,82,0,0,0,0,0,0,0,0,0,0,0
ABL1,164,162,529,0,0,503,0,333,79,662,133,0,123,0,0,97,0,662,100,2,0,322,0,0,113,120,0,0,0,0
ABL2,8,9,27,3,0,12,14,2,3,31,7,7,16,0,8,10,0,4,8,5,6,1,2,0,20,19,26,8,0,3
ABLIM1,709,249,284,0,347,1312,343,1,93,230,390,280,58,852,252,1,11685,1,28,0,555,496,986,0,162,52,0,18,606,0
ABLIM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0
ABLIM3,6,1,0,0,0,2,0,8,3,0,2,0,1,0,0,0,0,0,8,11,0,0,0,86,0,21,0,0,0,0
ABO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
ABP1,585,184,0,0,0,0,0,164,0,91,0,0,40,0,0,39,0,0,102,0,0,103,947,0,12,25,0,34,0,133
ABR,9,5,69,0,0,92,208,0,0,0,0,318,12,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
ABRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABT1,306,57,0,224,0,295,0,259,299,272,346,476,186,0,280,224,228,904,696,0,21,435,0,567,216,40,0,384,0,451
ABTB1,1640,3890,1140,2542,1405,3194,417,2936,3073,1722,2349,0,1714,920,4214,1180,1272,64,1134,2538,292,1566,1220,936,1329,534,2219,958,606,849
ABTB2,483,2140,256,661,987,3157,1209,483,539,2253,78,495,446,0,687,226,0,964,788,962,1622,2467,0,0,548,377,0,365,0,357
ACAA1,1029,1603,2246,1647,564,6546,970,792,797,2582,806,1770,1307,857,1482,954,860,905,895,0,1132,1430,1957,273,1594,683,947,873,0,1755
ACAA2,273,1789,1921,608,497,3387,799,833,233,2532,259,5151,386,0,910,251,154,502,527,541,649,2122,0,541,2012,262,0,398,0,965
ACACA,161,788,0,57,157,471,226,286,66,340,27,0,43,998,104,17,0,759,133,1407,186,217,0,0,135,223,0,0,0,0
ACACB,0,0,0,0,0,1195,0,0,47,94,0,0,9,0,0,879,0,0,62,0,0,0,0,0,0,0,0,0,0,0
ACAD10,20,26,0,0,0,1,200,0,0,0,15,0,32,0,0,28,0,0,52,0,50,82,801,0,12,0,0,0,0,0
ACAD8,152,747,416,238,146,1504,662,234,162,1449,76,1339,194,665,303,111,268,232,344,0,91,1036,0,139,494,95,0,65,205,498
ACAD9,370,1495,310,312,834,1992,882,0,310,1195,213,215,334,0,532,176,623,1094,769,0,120,874,831,254,551,123,0,0,0,132
ACADL,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,1,6,106,2,0,7,19,21,1,12,0,94,2,18,3,2,1,3,2,0,2,15,11,0,7,0,0,0,0,6
ACADS,64,86,0,58,0,78,0,145,32,78,0,0,52,0,87,0,0,0,189,27,22,84,0,340,28,78,0,0,0,398
ACADSB,13,34,0,0,0,91,0,0,17,82,70,0,30,0,0,10,0,0,36,0,0,57,0,0,0,152,0,0,0,0
ACADVL,54,328,513,81,238,682,205,156,35,359,27,696,83,108,80,48,56,166,118,127,34,346,165,98,133,49,0,82,37,156
ACAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP1,245,155,555,318,0,228,103,0,337,179,265,0,245,1087,81,155,0,264,588,0,0,42,0,0,86,0,0,0,0,342
ACAP2,1006,1387,921,1068,1458,1239,309,1015,816,729,1566,756,579,499,1341,442,1467,254,432,670,423,518,2898,1118,1014,783,0,637,0,884
ACAP3,26,66,189,36,206,39,194,34,12,91,37,288,46,0,20,11,0,239,64,0,0,113,0,0,22,0,0,153,0,147
ACAT1,25,76,0,52,51,175,1,416,17,102,20,0,22,0,30,21,0,0,58,0,0,125,0,981,151,227,0,86,0,0
ACAT2,315,1393,1140,460,1150,3550,833,2482,201,2338,193,1256,569,413,1321,159,702,785,300,1278,620,1323,0,611,1195,533,0,632,0,1226
ACBD3,963,379,103,83,327,1214,142,898,436,1135,533,400,381,3573,758,438,0,200,521,0,511,576,1333,0,408,474,925,417,0,568
ACBD4,42,0,7,19,12,68,0,0,0,115,8,0,67,0,41,18,0,0,0,309,0,0,0,0,0,0,0,0,35,0
ACBD5,309,296,309,163,290,335,440,419,242,135,178,492,120,0,206,67,74,101,238,0,0,12,10,0,105,42,0,90,295,246
ACBD6,1,11,0,1,0,5,9,0,116,2,4,55,0,0,0,4,0,0,5,0,0,8,0,23,4,5,0,0,0,2
ACBD7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,1,70,0,1,0
ASIC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIC1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIC3,0,330,0,17,0,591,375,0,0,87,29,0,0,0,0,0,0,0,138,0,0,0,0,0,13,0,0,0,0,0
ASIC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCS,0,7,0,12,1,0,0,0,3,23,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCSL,0,0,66,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,127
ACD,107,41,0,84,0,0,256,0,14,20,57,0,36,0,100,52,94,0,0,0,0,80,0,0,60,42,0,0,0,221
ACE,133,43,0,0,0,0,0,0,16,0,118,0,179,0,0,86,0,1456,0,1,0,281,0,0,19,66,0,0,0,285
ACE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACER1,636,1845,1911,79,1215,2875,1,994,650,2141,20,3181,152,1005,793,32,80,0,1871,0,666,966,3,0,747,112,0,0,1851,476
ACER2,18,49,0,0,199,550,34,43,2,48,3,0,7,0,152,5,0,26,6,0,11,92,0,0,30,431,0,0,88,24
ACER3,6,6,0,7,73,3,29,0,15,6,6,0,4,0,13,13,0,49,0,0,0,0,0,0,9,25,0,0,0,0
ACHE,10,0,0,0,0,0,0,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIN1,571,284,268,266,977,393,1,568,377,525,715,1,653,2216,473,367,1139,335,173,0,170,333,2646,0,603,145,981,0,0,663
ACLY,413,453,2,242,766,847,520,793,422,511,350,0,206,0,364,320,137,754,265,0,588,155,275,0,385,189,872,348,0,183
ACMSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACN9,35,43,0,174,207,31,0,0,26,0,137,0,13,0,110,28,0,0,86,0,0,11,0,0,45,67,0,0,0,0
ACO1,56,64,173,99,0,105,138,109,28,114,5,102,65,0,0,14,52,0,39,0,0,57,0,426,62,30,0,74,0,0
ACO2,592,1454,384,651,696,1540,1651,934,326,961,146,2495,576,0,436,268,85,588,655,270,259,1104,4301,0,568,387,546,708,525,294
ACOT11,25,0,0,50,0,41,0,0,0,0,21,0,0,0,74,28,0,0,56,0,0,64,0,0,0,0,0,0,0,0
ACOT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT13,215,358,206,70,547,1102,83,155,84,175,63,327,148,0,602,274,0,823,214,0,225,237,0,0,211,490,0,0,0,888
ACOT2,79,305,146,89,99,589,818,3,106,372,39,6,157,0,169,53,30,228,101,0,35,260,0,0,102,121,0,1,0,71
ACOT4,20,218,155,12,0,657,253,106,30,220,18,0,25,0,170,0,185,0,58,0,130,73,0,0,155,13,376,0,0,0
ACOT6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,831,1037,331,283,2010,1189,787,485,180,992,55,178,277,0,404,326,0,235,302,0,117,697,0,0,379,179,0,805,157,322
ACOT8,70,713,571,501,133,1495,569,180,324,435,205,461,173,0,295,59,0,154,1682,0,113,444,322,0,449,185,1332,0,0,153
ACOT9,2397,1799,514,1152,1116,913,1053,1489,1671,1207,1342,8,967,0,2378,1898,993,1870,684,57,361,574,1766,0,1292,739,383,841,0,804
ACOX1,23,50,81,33,28,61,35,13,27,83,45,48,31,15,58,20,1,11,24,0,16,55,17,0,96,36,0,152,0,8
ACOX2,14,54,0,0,0,0,0,0,0,55,29,0,8,0,26,0,100,0,0,251,19,0,0,0,10,0,0,0,0,0
ACOX3,405,801,40,141,681,1283,138,629,153,673,213,0,333,0,140,186,738,1124,8,666,263,611,1171,132,283,2,0,0,0,299
ACOXL,0,0,0,22,0,0,0,0,30,0,25,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
ACP1,225,506,146,126,125,624,381,50,127,158,129,0,143,0,256,191,200,829,397,648,32,196,0,717,276,222,0,30,0,56
ACP2,26,4,28,29,8,130,46,0,18,15,19,9,52,0,77,10,45,4,45,0,35,27,0,0,0,9,0,27,0,1
ACP5,944,1313,276,793,3171,1323,1185,268,172,501,112,3648,1214,1068,247,982,1188,0,795,0,317,653,1222,0,424,8,0,134,0,414
ACP6,145,958,7,98,304,808,206,204,16,1188,312,1725,332,0,402,43,24,342,137,484,39,463,0,0,530,51,0,0,0,0
ACPL2,0,69,0,2093,0,0,0,0,5,92,22,0,167,0,126,150,0,1,119,0,0,237,0,0,1156,988,11456,0,0,0
ACPP,658,684,0,508,816,663,70,633,90,620,358,884,55,0,308,200,0,181,48,437,119,321,0,659,170,133,0,202,0,364
ACPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR,0,0,0,0,1,0,0,0,79,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRBP,0,0,2,0,0,0,0,92,0,0,28,0,6,0,46,0,0,7,0,0,0,0,0,0,15,0,0,0,0,0
ACRC,27,0,0,0,0,0,0,0,0,0,0,1,6,0,29,5,0,0,0,0,0,0,0,0,66,0,0,0,0,0
ACRV1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ACSBG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSBG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSF2,13,82,0,8,0,24,71,0,8,8,4,621,55,0,25,57,0,0,0,294,0,0,0,0,16,0,0,0,0,0
ACSF3,212,45,0,95,690,0,422,0,59,0,64,0,56,0,116,193,0,0,92,0,0,0,0,0,27,0,0,316,0,0
ACSL1,1420,3306,1726,3477,1455,4685,1795,1933,2390,3190,4513,1208,2887,881,3704,1052,514,977,950,182,437,2318,1080,333,5277,1851,239,1045,278,1308
ACSL3,11,27,426,21,84,26,22,35,44,23,53,107,16,0,16,15,0,0,13,0,9,16,0,0,50,67,0,0,0,24
ACSL4,1653,1029,274,2152,728,1064,252,280,1015,1602,2203,855,876,1341,3731,1435,1447,115,819,47,2622,510,358,1273,1736,1932,292,1089,114,1267
ACSL5,871,668,0,921,1030,1922,816,820,913,866,764,0,1897,701,1246,636,234,335,854,0,13,850,607,0,272,660,0,385,0,956
ACSL6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM3,9,81,221,49,0,658,106,245,93,381,8,296,18,0,62,23,0,0,64,0,67,262,0,0,182,0,0,313,0,576
ACSM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSS3,7,224,0,42,0,987,129,165,53,249,15,0,29,0,105,50,620,29,0,0,0,1355,0,0,186,0,0,0,0,0
ACTA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTA2,40,0,0,0,0,0,0,0,90,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
ACTB,165263,137105,184960,205923,193220,122998,125633,209154,127129,109172,130980,184494,117538,253367,205971,135865,125976,315968,113751,93618,99385,70590,249485,27529,114179,90079,68700,126729,17863,212769
ACTBL2,7,8,0,24,0,0,100,0,0,0,0,0,0,0,0,0,0,145,0,1,0,0,0,0,0,0,0,0,0,0
ACTC1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,29,0,0,0
ACTG1,68955,79002,56247,67136,75694,68304,58302,61537,36653,69571,41408,90967,50535,72493,45170,57453,50961,86503,81397,40101,39153,41741,80602,24670,39728,25606,22814,49824,16004,69651
ACTG2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,327,0,0,0,0,0,0,0,0,0,0,0,0
ACTL10,9,11,0,13,1,14,0,0,0,10,0,0,0,0,6,0,0,43,0,4,0,0,0,0,0,0,400,0,293,0
ACTL6A,15,11,0,42,39,65,0,0,13,22,9,137,15,0,2,23,5,146,0,0,0,0,146,0,11,10,0,0,0,0
ACTL6B,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,28,0,217,0,18,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,7,0,0,209,0,17,141,0,0,9,0,0,0,0
ACTL8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
