Gene,IR_039,IR_046,PD_016,IR_031,PD_021,IR_047,IR_002,PD_028,IR_050,IR_016,IR_019,PD_025,IR_027,PD_029,IR_020,HR_056,HR_063,PD_001,HR_048,PD_006,HR_064,HR_019,PD_013,HR_067,HR_033,HR_036,PD_010,HR_044,PD_014,HR_037
MAPK1,526,691,194,636,158,971,862,130,472,640,1033,0,333,338,847,362,58,163,455,0,521,748,47,241,749,428,0,676,0,801
MAPK10,63,0,470,0,416,0,0,0,54,79,0,0,0,0,67,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
MAPK11,67,19,0,0,0,0,0,0,17,198,30,0,63,0,25,12,0,309,265,0,0,8,0,0,19,0,0,0,0,0
MAPK12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK13,123,455,82,142,134,749,271,310,99,364,52,165,102,49,266,135,163,128,130,256,230,180,48,337,112,85,0,160,40,195
MAPK14,926,1167,347,1056,473,1886,373,409,1408,1344,1821,635,689,1097,1596,699,412,702,591,363,688,375,0,0,2505,757,0,963,0,1153
MAPK15,12,2,30,0,51,0,0,0,0,0,0,0,1,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK1IP1L,2153,2296,867,1123,672,2234,827,2241,1113,3170,1220,1695,540,0,2737,997,2767,1638,1046,3,639,914,0,0,1701,1086,1306,1535,0,2207
MAPK3,706,2161,1207,519,890,3049,1350,582,557,2061,447,2623,401,306,783,277,298,462,400,533,746,883,402,508,449,241,793,488,0,209
MAPK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
MAPK6,89,151,1191,108,1183,193,305,896,227,202,116,1398,120,938,178,65,67,0,57,0,128,87,1155,175,123,169,647,29,0,113
MAPK7,87,39,0,13,112,14,0,0,94,25,24,0,114,0,0,102,0,0,157,0,0,0,0,0,137,200,0,0,0,0
MAPK8,3,0,0,3,0,0,0,0,6,0,0,0,0,11,0,0,0,0,1,0,12,14,0,22,0,2,0,0,0,0
MAPK8IP1,47,0,0,0,0,114,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,14,0,0,0,0,0
MAPK8IP2,19,0,0,0,0,18,0,0,11,0,0,0,5,0,13,0,0,6,52,0,0,0,0,0,5,1,33,0,7,0
MAPK8IP3,790,881,281,1063,503,1356,700,70,561,1910,277,751,902,0,814,250,1793,272,1662,30,524,1818,2,277,185,36,328,535,986,470
MAPK9,2483,599,1095,212,446,384,0,466,208,912,681,0,515,4142,206,1039,1469,2650,365,0,1181,0,0,0,679,317,0,1475,0,1703
MAPKAP1,22,33,51,9,30,87,74,43,20,85,24,0,25,143,33,29,0,183,20,112,19,12,0,0,32,10,0,33,0,9
MAPKAPK2,2609,1951,1864,3075,2985,3589,3401,1325,3354,1557,3390,2237,2356,2202,3817,2024,2235,1491,2106,581,655,1572,2735,1156,1870,1569,0,1496,0,1425
MAPKAPK5,404,0,148,154,517,53,0,0,152,66,157,0,93,0,186,173,246,521,305,0,0,0,400,0,83,216,0,102,0,0
MAPKBP1,33,70,0,48,0,213,125,51,58,130,21,108,54,0,102,26,0,0,32,7,30,246,0,0,42,59,356,0,0,0
MAPRE1,3943,3320,1616,3841,1205,4236,1654,5219,3632,2858,6715,1080,2624,3798,6179,2802,3315,1419,1678,1119,2902,1264,3031,873,3329,3916,1,2039,0,3378
MAPRE2,75,73,0,0,0,0,23,0,22,31,3,0,0,0,0,0,0,0,46,0,0,140,0,0,0,0,0,0,0,0
MAPRE3,0,3,8,0,1,2,2,4,0,1,0,14,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,4,0
MAPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0
1-Mar,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0
2-Mar,8,0,0,58,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0
1-Mar,24,31,31,16,14,23,103,3,2,42,32,8,16,0,8,42,28,2,36,0,7,0,0,0,20,143,0,38,0,33
10-Mar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Mar,553,362,415,479,546,667,870,135,505,386,530,0,736,987,553,417,0,0,120,0,492,0,413,0,275,68,0,199,0,0
3-Mar,1423,3627,3800,1340,6047,5430,2271,3026,681,3860,271,7134,528,617,1581,304,1325,2058,1046,804,3425,2844,1195,4780,1904,1772,9307,75,1424,2182
4-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Mar,238,1582,385,328,309,855,469,1472,375,508,334,579,178,3877,755,167,337,975,100,21,643,498,3005,889,437,342,0,50,0,136
6-Mar,559,595,629,614,694,573,148,371,483,428,438,2857,331,1287,658,460,321,522,311,0,28,108,806,0,633,287,0,490,0,496
7-Mar,101,154,375,94,205,153,181,118,117,192,244,394,46,36,126,59,22,62,105,50,88,77,0,15,131,138,0,48,0,119
8-Mar,478,350,100,261,0,345,381,248,285,132,258,0,288,0,377,123,197,11,275,0,198,149,0,0,209,0,0,76,264,0
9-Mar,120,0,0,64,1101,0,0,0,55,149,22,0,110,0,50,157,0,1443,63,0,0,0,0,0,0,0,0,0,0,0
MARCKS,5254,1547,2610,2921,4728,6899,1980,11025,4861,3208,5993,864,6065,2946,6838,2652,1078,5632,915,371,1380,3960,3919,1118,1653,1179,1323,1241,1376,5787
MARCKSL1,276,314,47,66,47,74,374,78,164,213,195,165,185,51,133,208,147,65,127,17,67,190,110,57,98,64,50,82,31,177
MARCO,18,3,0,23,376,70,241,0,22,0,0,0,34,0,15,93,0,0,42,0,0,0,0,0,0,0,0,0,0,116
MARK1,3,2,0,0,32,0,0,0,7,0,0,2,0,0,0,0,0,0,7,0,26,0,0,0,0,0,0,0,0,0
MARK2,957,780,1783,637,406,1243,438,110,1296,686,825,1,633,1044,1165,790,1,788,423,0,171,246,950,603,330,50,0,318,0,0
MARK2P9,0,0,0,0,173,0,0,0,0,0,0,300,0,0,41,0,0,175,0,0,0,0,407,0,0,0,0,0,1502,143
